TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float	float	float	float	float	boolean
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal	gTotalProbeSignal	gTotalProbeError	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
DATA	52	1	52	0	0	A_54_P3005	mmu-miR-880	1633.32	225.397	1.752541e+001	4.131444e+000	71	22	6.618222e+000	0	0	0	0	0	0	17.5254	1	0	46.8651	22.339	8.16845	2.51656	16.6437	3.59807	1
DATA	55	1	55	0	0	A_54_P2049	mmu-miR-697	1710.09	225.5	1.578355e+002	1.622091e+001	212.5	23	6.730854e+000	0	0	0	1	0	0	157.836	1	1	45.1352	23.2558	55.0109	5.62765	265.818	14.7789	1
DATA	56	1	56	0	0	A_54_P2370	mmu-miR-191	1735.27	225.549	-2.356382e+000	3.741314e+000	52	22	6.615528e+000	0	0	0	0	0	0	-2.35638	0	0	47.8731	22.104	-1.75971	1.18581	-5.74236	2.37163	0
DATA	57	1	57	0	0	A_54_P00004580	mmu-miR-669b	1761.46	225.194	1.040948e+001	3.883426e+000	65	21	6.764979e+000	0	0	0	1	0	0	10.4095	1	0	46.5243	22.4299	2.02117	2.38296	7.58524	3.40986	0
DATA	58	1	58	0	0	A_54_P00004539	mcmv-miR-m108-1*	1786.87	225.79	1.685154e+000	3.745107e+000	57	22	7.098074e+000	0	0	0	1	0	0	1.68515	0	0	44.7812	22.8184	-2.28199	2.37163	-4.19775	3.35399	0
DATA	59	1	59	0	0	A_54_P1511	mmu-miR-375	1811.88	225.721	6.357229e-001	3.741854e+000	56.5	22	7.120987e+000	0	0	0	0	0	0	0.635723	0	0	45.835	22.6452	-2.47893	2.37166	-4.30772	3.35402	0
DATA	60	1	60	0	0	A_54_P3412	mmu-let-7a*	1837.38	225.778	4.665220e+000	3.770288e+000	59	22	7.064369e+000	0	0	0	0	0	0	4.66522	1	0	47.8731	22.3454	0.350605	1.1885	2.58676	2.38327	0
DATA	61	1	61	0	0	A_54_P1421	mmu-miR-107	1862.79	225.105	3.461371e+002	3.481532e+001	406	21	6.606333e+000	0	0	0	1	0	0	346.137	1	1	42.5954	22.1199	279.145	28.075	1154.18	92.0254	1
DATA	62	1	62	0	0	A_54_P3209	mmu-miR-875-5p	1888.19	225.317	7.567231e+000	3.817074e+000	60.5	21	6.423139e+000	0	0	0	0	0	0	7.56723	1	0	44.7812	22.1034	-0.104263	1.19066	-0.0999852	2.37878	0
DATA	63	1	63	0	0	A_54_P2854	mmu-miR-301b	1913.46	225.475	2.392712e+000	3.748957e+000	58	21	6.712988e+000	0	0	0	0	0	0	2.39271	0	0	42.9674	22.3707	-0.569751	1.1863	-5.07793	2.37188	0
